DATE_TIME,IRRADIATION,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,hour,day,month,day_of_week,ac_power_lag1,irradiation_lag1,ac_power_rolling_mean,irradiation_rolling_mean
2020-05-15 00:00:00,0.0,0.30293006528603783,0.10071051410849435,0.0,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
2020-05-15 01:00:00,0.0,0.27879870166670306,0.09536038685642562,0.043478260869565216,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
2020-05-15 02:00:00,0.0,0.30112317707156944,0.12082615266872737,0.08695652173913043,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
2020-05-15 03:00:00,0.0,0.29886998728130454,0.1350476017052808,0.13043478260869565,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
2020-05-15 04:00:00,0.0,0.25150285917784165,0.08890539065845043,0.17391304347826086,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
2020-05-15 05:00:00,0.00021318549066026907,0.25138500018696575,0.10943824633479132,0.21739130434782608,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,7.69270000361538e-05
2020-05-15 06:00:00,0.04274298247568283,0.23733859527982926,0.10837034574713816,0.2608695652173913,0.4666666666666667,0.0,0.6666666666666666,0.0,0.00021318549066026907,0.01609917590910137,0.015500534883801804
2020-05-15 07:00:00,0.14585454870508616,0.29432785943931017,0.24338846967466415,0.30434782608695654,0.4666666666666667,0.0,0.6666666666666666,0.04638585961095087,0.04274298247568283,0.07023603580145063,0.06813147537960561
2020-05-15 08:00:00,0.3126219283995271,0.38311476152545043,0.4234500005666835,0.34782608695652173,0.4666666666666667,0.0,0.6666666666666666,0.15598219417706827,0.14585454870508616,0.18595427511682056,0.18086272788000893
2020-05-15 09:00:00,0.4345375561101661,0.4867856822535035,0.57016746570609,0.3913043478260869,0.4666666666666667,0.0,0.6666666666666666,0.33341396066581525,0.3126219283995271,0.32610704578748684,0.3222399908766497
2020-05-15 10:00:00,0.5090599085947916,0.5746679022618362,0.6962430187644595,0.43478260869565216,0.4666666666666667,0.0,0.6666666666666666,0.45020197921369665,0.4345375561101661,0.4534983232265086,0.45330096808870624
2020-05-15 11:00:00,0.5553520367814772,0.664063902922063,0.7071844626523891,0.4782608695652174,0.4666666666666667,0.0,0.6666666666666666,0.5230291749859137,0.5090599085947916,0.5480769244888959,0.540889007023449
2020-05-15 12:00:00,0.670483504164333,0.7798193152011463,0.745624485183475,0.5217391304347826,0.4666666666666667,0.0,0.6666666666666666,0.605919196034852,0.5553520367814772,0.6316878612318054,0.6260290130260993
2020-05-15 13:00:00,0.5043048078853185,0.8317193140247126,0.6807866077498583,0.5652173913043478,0.4666666666666667,0.0,0.6666666666666666,0.6911065569134863,0.670483504164333,0.6448376809059501,0.6243131568891894
2020-05-15 14:00:00,0.6517904406131513,0.925139211309026,0.7743242381377806,0.6086956521739131,0.4666666666666667,0.0,0.6666666666666666,0.560917181971996,0.5043048078853185,0.6784408938926355,0.6591125096597221
2020-05-15 15:00:00,0.43431929061705526,0.9443023588758277,0.6239076436691493,0.6521739130434783,0.4666666666666667,0.0,0.6666666666666666,0.702738681012097,0.6517904406131513,0.6085243030137661,0.5738937435616056
2020-05-15 16:00:00,0.31935755438279756,0.9435599525061416,0.5316608473188766,0.6956521739130435,0.4666666666666667,0.0,0.6666666666666666,0.48965890597192063,0.43431929061705526,0.5355295260235069,0.5071563810290507
2020-05-15 17:00:00,0.11522069648901463,0.8625432137738445,0.3784530121576651,0.7391304347826086,0.4666666666666667,0.0,0.6666666666666666,0.35060048645165764,0.31935755438279756,0.3342737006801258,0.31353766618220047
2020-05-15 18:00:00,0.008286997227912618,0.5947183820187787,0.2256157095717028,0.7826086956521738,0.4666666666666667,0.0,0.6666666666666666,0.12286897134661576,0.11522069648901463,0.16699633140925374,0.1598058800862287
2020-05-15 19:00:00,5.574826759195152e-05,0.3956611287263472,0.14857258791197175,0.8260869565217391,0.4666666666666667,0.0,0.6666666666666666,0.007689852965842225,0.008286997227912618,0.04531315139399727,0.04458729755280617
2020-05-15 20:00:00,0.0,0.1345918054858366,0.049455539076871,0.8695652173913043,0.4666666666666667,0.0,0.6666666666666666,0.0,5.574826759195152e-05,0.0026689231729358823,0.0030104411939414866
2020-05-15 21:00:00,0.0,0.10545912642523847,0.056636878553249004,0.9130434782608695,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,2.011650497310704e-05
2020-05-15 22:00:00,0.0,0.10173860803607515,0.0599560464119816,0.9565217391304348,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
2020-05-15 23:00:00,0.0,0.10891978382468337,0.06826195013445213,1.0,0.4666666666666667,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
2020-05-16 02:00:00,0.0,0.06408322940363931,0.03494943337587786,0.08695652173913043,0.5,0.0,0.8333333333333333,0.0,0.0,0.0,0.0
2020-05-16 03:00:00,0.0,0.07202317422887039,0.045518005604498424,0.13043478260869565,0.5,0.0,0.8333333333333333,0.0,0.0,0.0,0.0
2020-05-16 04:00:00,0.0,0.08743654145206148,0.05717230779139426,0.17391304347826086,0.5,0.0,0.8333333333333333,0.0,0.0,0.0,0.0
2020-05-16 05:00:00,3.6366780986175453e-05,0.08606369131036207,0.053753674048184874,0.21739130434782608,0.5,0.0,0.8333333333333333,0.0,0.0,0.0,1.3122785014935808e-05
